Number,Water Depth,Latitude,Longitude,Region,Abundance,Species,Genus,Total
416,1610,79.4,-178.0833333,Chukchi,0,0,0,73
534,1640,87.612,148.14,Laptev,0,0,0,840
535,1674,87.612,148.253,Laptev,0,0,0,942
1293,1717,79.929,-174.4548333,Chukchi,0,0,0,592
420,1730,85.73166667,-108.865,Beaufort,0,0,0,388
1309,1753,85.075,-130.634,Beaufort,0,0,0,134
1289,1763,78.17016667,-174.5038333,Chukchi,0,0,0,64
608,1779,74.74,-157.39,Beaufort,0,0,0,284
1306,1785,85.14533333,-138.2318333,Beaufort,0,0,0,116
514,1794,86.44,60.072,Kara,0,0,0,214
1336,1824,78.02666667,-4.66,Greenland,0,0,0,159
583,1845,74.99566667,-159.3045,Beaufort,0,0,0,73
609,1942,74.74,-157.36,Beaufort,0,0,0,299
1302,1971,85.1305,-142.8538333,Beaufort,0,0,0,439
700,1990,88.867,140.18,Laptev,0,0,0,122
701,1990,88.867,140.18,Laptev,0,0,0,293
537,2004,88.513,140.363,Laptev,0,0,0,163
1307,2016,84.87733333,-136.0401667,Beaufort,0,0,0,302
533,2016,87.60166667,148.83,Laptev,0,0,0,464
619,2025,82.4,40.89333333,Barents,0,0,0,55
513,2030,86.335,59.267,Kara,0,0,0,700
697,2035,88.067,146.783,Laptev,0,0,0,456
696,2035,88.067,146.783,Laptev,0,0,0,459
538,2036,88.515,140.49,Laptev,0,0,0,306
440,2059,75.31333333,-10.98333333,Greenland,0,0,0,63
576,2061,76.4765,8.7375,Greenland,0,0,0,241
1291,2095,79.5295,-174.1273333,Chukchi,0,0,0,347
443,2109,72.30033333,-11.30266667,Greenland,0,0,0,87
436,2118,72.61666667,-13.84,Greenland,0,0,0,118
586,2120,74.825,-157.205,Beaufort,0,0,0,144
589,2135,75.74,-160.86,Chukchi,0,0,0,143
577,2162,76.74966667,8.195833333,Greenland,0,0,0,201
579,2200,77.06666667,6.363,Greenland,0,0,0,198
712,2214,76.65,-173.33,Chukchi,0,0,0,61
713,2214,76.65,-173.33,Chukchi,0,0,0,496
1312,2215,86.05133333,-133.9215,Beaufort,0,0,0,201
684,2217,81.265,179.967,Siberian,0,0,0,108
685,2217,81.265,179.967,Siberian,0,0,0,401
408,2250,84.93166667,-36.30333333,Greenland,0,0,0,178
580,2259,76.63666667,6.405,Greenland,0,0,0,288
1300,2262,84.39,-143.8531667,Beaufort,0,0,0,885
1303,2277,85.4715,-143.142,Beaufort,0,0,0,258
610,2320,74.738,-157.306,Beaufort,0,0,0,418
578,2362,76.86733333,8.405,Greenland,0,0,0,361
686,2400,82.44666,175.758,Siberian,0,0,0,206
687,2400,82.44666,175.758,Siberian,0,0,0,336
1305,2424,85.73,-142.652,Beaufort,0,0,0,441
557,2439,82.063,15.717,Barents,0,0,0,82
611,2476,74.74,-157.28,Beaufort,0,0,0,121
532,2489,87.57166667,151.12,Siberian,0,0,0,356
626,2520,78.48333333,133.0016667,Laptev,0,0,0,65
612,2560,74.73,-157.29,Beaufort,0,0,0,372
641,2620,78.66666667,118.7383333,Laptev,0,0,0,85
1308,2674,84.29666667,-135.1028333,Beaufort,0,0,0,96
1310,2732,84.47466667,-131.3718333,Beaufort,0,0,0,78
406,2750,85.59,-48.86,Baffin,0,0,0,57
1292,2810,79.58733333,-172.4938333,Chukchi,0,0,0,166
449,2857,74.4845,5.407166667,Greenland,0,0,0,178
614,2876,81.705,30.33,Barents,0,0,0,387
502,2932,81.6967,30.4917,Barents,0,0,0,60
1295,2962,79.91216667,-171.4446667,Chukchi,0,0,0,96
553,2993,85.27833333,-2.505,Greenland,0,0,0,59
511,3040,86.24166667,59.215,Kara,0,0,0,233
512,3047,86.24166667,59.233,Kara,0,0,0,264
640,3048,79.155,119.7816667,Laptev,0,0,0,199
688,3110,83.167,174.1,Siberian,0,0,0,64
689,3110,83.167,174.1,Siberian,0,0,0,297
444,3125,73.73416667,-9.625333333,Greenland,0,0,0,76
587,3130,74.81333333,-157.1033333,Beaufort,0,0,0,149
690,3193,84.1,174.98,Siberian,0,0,0,63
691,3193,84.1,174.98,Siberian,0,0,0,347
1294,3198,80.36983333,-172.5653333,Chukchi,0,0,0,155
639,3233,79.21666667,122.9066667,Laptev,0,0,0,132
1296,3242,79.68733333,-170.2241667,Chukchi,0,0,0,66
531,3331,87.59666667,153.375,Siberian,0,0,0,234
597,3365,74.74,-157.19,Beaufort,0,0,0,408
706,3450,85.717,37.742,Barents,0,0,0,52
707,3450,85.717,37.742,Barents,0,0,0,595
693,3475,85.9,166.833,Siberian,0,0,0,276
604,3498,73.87,-140.61,Beaufort,0,0,0,360
437,3509,74.33833333,-5.191666667,Greenland,0,0,0,53
515,3636,86.86,59.765,Kara,0,0,0,93
603,3680,74.6,-142.1,Beaufort,0,0,0,224
1314,3709,75.726,-140.6131667,Beaufort,0,0,0,118
547,3767,85.565,-9.058,Greenland,0,0,0,104
508,3800,82.775,29.925,Barents,0,0,0,181
602,3808,75.34,-150.01,Beaufort,0,0,0,68
539,3813,88.735,126.858,Laptev,0,0,0,148
599,3818,74.73,-156.88,Beaufort,0,0,0,87
600,3831,75.81,-155.13,Beaufort,0,0,0,287
601,3842,75.82,-155.01,Beaufort,0,0,0,129
517,3846,87.51,55.933,Kara,0,0,0,70
545,3873,86.22833333,9.593,Greenland,0,0,0,202
695,3890,87.15,160.533,Siberian,0,0,0,313
551,3899,85.05833333,-13.035,Greenland,0,0,0,212
703,3930,88.9995,137.495,Laptev,0,0,0,91
709,3940,84.267,34.617,Barents,0,0,0,123
555,3949,83.045,10.125,Greenland,0,0,0,140
546,3958,85.95166667,0.115,Greenland,0,0,0,127
495,4004,83.7065,33.38,Barents,0,0,0,279
530,4005,87.62666667,156.675,Siberian,0,0,0,117
527,4008,88.022,159.585,Siberian,0,0,0,66
526,4009,88.00333333,159.233,Siberian,0,0,0,96
509,4010,83.94833333,30.285,Barents,0,0,0,113
497,4018,84.807,40.6,Barents,0,0,0,53
496,4052,84.18533333,33.94,Barents,0,0,0,280
519,4083,87.6,60.895,Kara,0,0,0,54
705,4180,89.983,40.5065,Barents,0,0,0,128
543,4337,87.51833333,11.258,Greenland,0,0,0,83
520,4384,87.585,68.978,Kara,0,0,0,59
1321,150,81.165,-96.09166667,Baffin,0.000860956,0.043478261,0.090909091,2323
1324,300,81.77666667,-96.06333333,Baffin,0.003465003,0.05,0.111111111,1443
361,32,69.885,-141.242,Beaufort,0.073684211,0.05,0.083333333,190
802,68,76.95,118.59,Laptev,0.112676056,0.052631579,0.083333333,142
362,30,69.818,-141.259,Beaufort,0.023696682,0.055555556,0.090909091,211
1279,522,78.664366,165.03303,Siberian,0.038461538,0.058823529,0.076923077,520
1286,837,85.141248,151.590144,Siberian,0.073566085,0.0625,0.083333333,802
1322,180.8,81.185,-96.00333333,Baffin,0.019230769,0.066666667,0.125,52
447,1795,76.91883333,-3.3835,Greenland,0.022222222,0.066666667,0.1,180
1323,250,81.72666667,-93.4,Baffin,0.025316456,0.066666667,0.111111111,158
797,127,77.62,130,Laptev,0.025641026,0.066666667,0.111111111,117
442,458,70.31583333,-8.653,Greenland,0.697095436,0.066666667,0.111111111,241
652,235,78.58166667,111.3866667,Laptev,0.064220183,0.071428571,0.111111111,109
309,22,70.815,-150.035,Beaufort,0.009090909,0.076923077,0.1,110
992,50,71.28783333,-152.6053333,Beaufort,0.046153846,0.076923077,0.1,65
504,752,81.5083,30.9067,Barents,0.051020408,0.076923077,0.111111111,98
623,132,77.89166667,101.5916667,Kara,0.108843537,0.076923077,0.142857143,147
798,85,77.55,130.13,Laptev,0.445945946,0.076923077,0.111111111,148
1503,46,70.973,-163.564,Chukchi,0.011111111,0.083333333,0.090909091,180
1124,43,71.2492,-165.44789,Chukchi,0.058823529,0.083333333,0.083333333,51
1278,367,78.22384,164.42092,Siberian,0.069498069,0.083333333,0.125,259
1282,378,79.742123,154.3893,Siberian,0.009090909,0.090909091,0.125,110
233,23,70.817,-150,Beaufort,0.010526316,0.090909091,0.111111111,95
1002,47,64.99263333,-169.1360667,Chukchi,0.012195122,0.090909091,0.142857143,164
434,850,74.17666667,-14.58,Greenland,0.01369863,0.090909091,0.166666667,73
591,402,76.09,-164.83,Chukchi,0.019774011,0.090909091,0.2,354
178,16.2,70.675,-150,Beaufort,0.024390244,0.090909091,0.125,82
187,10,69.91,-132.82,Beaufort,0.043478261,0.090909091,0.125,207
908,26,75.49733,117.9815,Laptev,0.054794521,0.090909091,0.090909091,73
1045,15,69.63433,169.55217,Siberian,0.001682793,0.1,0.111111111,4754
890,12,73.02444,75.59139,Kara,0.005813953,0.1,0.125,1032
821,26,74,74,Kara,0.008928571,0.1,0.111111111,112
1088,45.65,70.34773333,-165.46015,Chukchi,0.009803922,0.1,0.111111111,102
809,27,74.5,74,Kara,0.012578616,0.1,0.111111111,159
1109,79,62.01633333,-175.071,Chukchi,0.02247191,0.1,0.111111111,178
903,12,73.98717,117.962,Laptev,0.024291498,0.1,0.111111111,247
1500,45,71.337,-164.613,Chukchi,0.026315789,0.1,0.111111111,76
441,1047,76.92333333,-6.083333333,Greenland,0.034883721,0.1,0.166666667,86
100,19,70,-132.53,Beaufort,0.049180328,0.1,0.111111111,61
649,100,78.47166667,110.7916667,Laptev,0.058139535,0.1,0.166666667,86
561,562,80.287,6.578,Greenland,0.063291139,0.1,0.1,158
820,21,73.46,74.87,Kara,0.06557377,0.1,0.111111111,61
1198,42.2,71.64968333,-162.6396,Chukchi,0.06779661,0.1,0.1,59
647,101,77.17166667,118.71,Laptev,0.082644628,0.1,0.2,121
1046,13.5,69.37817,169.41583,Siberian,0.122661123,0.1,0.125,481
920,34,70.3275,168.26806,Siberian,0.153846154,0.1,0.125,65
632,92,77.03,126.4133333,Laptev,0.056034483,0.105263158,0.222222222,232
306,6,70.272,-146.85,Beaufort,0.008695652,0.111111111,0.166666667,230
1051,11,69.17533,170.58367,Siberian,0.01217656,0.111111111,0.125,657
382,6.7,70.30769,-161.3804,Chukchi,0.032679739,0.111111111,0.111111111,153
386,16.5,70.45207,-161.96241,Chukchi,0.083333333,0.111111111,0.125,192
622,143,77.70666667,102.2883333,Kara,0.101449275,0.111111111,0.166666667,69
865,83,76.3,78.93,Kara,0.118421053,0.111111111,0.125,76
358,7,69.989,-142.518,Beaufort,0.26744186,0.111111111,0.125,86
160,38,70.73,-148.02,Beaufort,0.085365854,0.117647059,0.2,82
1220,52.4,71.3759,-159.4820833,Beaufort,0.24137931,0.117647059,0.153846154,87
390,17,70.9099,-158.21192,Beaufort,0.003546099,0.125,0.142857143,282
822,23,73.42,78.81,Kara,0.005181347,0.125,0.166666667,193
1252,53,72.40063271,-159.3462278,Beaufort,0.007407407,0.125,0.125,135
638,2332,78.06,125,Laptev,0.016949153,0.125,0.2,59
310,23,70.83,-150.202,Beaufort,0.018404908,0.125,0.2,163
366,4,69.655,-141.356,Beaufort,0.034550839,0.125,0.142857143,1013
303,12.5,70.266,-146.608,Beaufort,0.038961039,0.125,0.111111111,154
1347,45,64.68283333,-169.099,Chukchi,0.05511811,0.125,0.142857143,127
902,14,74.01333,115.95617,Laptev,0.058823529,0.125,0.142857143,85
863,16,72.57,79.92,Kara,0.064102564,0.125,0.142857143,78
625,3429,79.65166667,130.535,Laptev,0.084507042,0.125,0.2,71
74,567,81.59,67.53,Kara,0.108974359,0.125,0.25,156
175,24,71.125,-153,Beaufort,0.122807018,0.125,0.166666667,57
363,23,69.786,-141.37,Beaufort,0.131782946,0.125,0.2,129
829,38,74.3,76.83,Kara,0.142857143,0.125,0.142857143,63
320,3,70.22,-147.54,Beaufort,0.218181818,0.125,0.142857143,110
33,2.6,70.92,-153.63,Beaufort,0.242105263,0.125,0.111111111,95
439,482,75.47166667,-11.68666667,Greenland,0.35078534,0.125,0.222222222,382
1444,90,71.32895,-157.3309833,Beaufort,0.28,0.133333333,0.166666667,75
236,19.5,70.67,-128.53,Beaufort,0.390654206,0.136363636,0.25,535
1157,47,62.86,-171.03,Chukchi,0.005347594,0.142857143,0.166666667,187
1156,46,62.93433333,-170.9281667,Chukchi,0.005586592,0.142857143,0.166666667,179
205,39,70.14,-145.483,Beaufort,0.008849558,0.142857143,0.166666667,113
188,3,69.78,-132.07,Beaufort,0.011532125,0.142857143,0.125,607
1041,18,73.14133,134.64467,Laptev,0.012260536,0.142857143,0.181818182,1305
1346,47,64.992,-169.1361667,Chukchi,0.019230769,0.142857143,0.166666667,52
1153,45,62.80933333,-170.646,Chukchi,0.023809524,0.142857143,0.166666667,84
1566,97.2,70.555,-143.61483,Beaufort,0.024390244,0.142857143,0.166666667,82
910,16,73.8775,126.55567,Laptev,0.033057851,0.142857143,0.166666667,242
438,1783,73.74666667,-14.86166667,Greenland,0.041666667,0.142857143,0.2,144
385,16.7,70.4071,-161.77314,Chukchi,0.043715847,0.142857143,0.142857143,183
889,21,72.67222,73.46111,Kara,0.044303797,0.142857143,0.181818182,158
153,26,70.3,-146.08,Beaufort,0.048611111,0.142857143,0.2,144
795,76,77.83,132.23,Laptev,0.056338028,0.142857143,0.181818182,142
500,1536,75.4895,13.02,Greenland,0.08045977,0.142857143,0.222222222,87
207,17,70.327,-146.5,Beaufort,0.086206897,0.142857143,0.181818182,58
1043,20.8,72.53833,136.15933,Laptev,0.087140838,0.142857143,0.181818182,2123
357,5,69.675,-141.319,Beaufort,0.090909091,0.142857143,0.142857143,165
204,16,70.158,-144.367,Beaufort,0.116666667,0.142857143,0.25,60
799,51,76.17,133.25,Laptev,0.142857143,0.142857143,0.142857143,70
1224,61,72.793738,-164.898162,Chukchi,0.147651007,0.142857143,0.153846154,149
997,72,73.3355,-165.6061667,Chukchi,0.166666667,0.142857143,0.153846154,84
218,19.5,70.517,-147.818,Beaufort,0.182926829,0.142857143,0.2,164
678,47,75.49,115.249,Laptev,0.213114754,0.142857143,0.2,61
193,13,70.41,-128.79,Beaufort,0.237554585,0.142857143,0.166666667,1145
1254,55,72.85511667,-161.2170667,Chukchi,0.283333333,0.142857143,0.142857143,60
215,5.8,70.56,-149.45,Beaufort,0.325301205,0.142857143,0.142857143,166
211,1,70.45,-148.75,Beaufort,0.371428571,0.142857143,0.142857143,70
201,22,69.79,-135.52,Beaufort,0.415948276,0.142857143,0.2,464
230,6,70.359,-147.697,Beaufort,0.464285714,0.142857143,0.142857143,56
337,19.8,70.71,-149.43,Beaufort,0.514285714,0.142857143,0.166666667,70
898,39,74.83028,84.49889,Kara,0.124183007,0.15,0.230769231,153
1571,87,71.32683,-157.30616,Beaufort,0.208,0.15,0.214285714,125
101,16,70.5,-129.38,Beaufort,0.038461538,0.153846154,0.2,130
1243,68,71.5802,-157.8405,Beaufort,0.046511628,0.153846154,0.181818182,86
866,55,76.66,83.88,Kara,0.05511811,0.153846154,0.222222222,127
1499,43,71.45,-164.92,Chukchi,0.076433121,0.153846154,0.166666667,157
190,12,70.07,-131.2,Beaufort,0.098901099,0.153846154,0.2,364
867,73,76.94,85.76,Kara,0.12987013,0.153846154,0.2,154
1049,10.4,68.85867,170.016,Siberian,0.286036036,0.153846154,0.166666667,444
1237,57,71.2904,-157.2476,Beaufort,0.305555556,0.153846154,0.222222222,144
505,461,81.465,31.2767,Barents,0.34375,0.153846154,0.222222222,192
1521,96,71.4953,-157.6265,Beaufort,0.44,0.153846154,0.181818182,50
1553,49.2,71.24833,-152.17166,Beaufort,0.054216867,0.157894737,0.214285714,166
360,34,69.882,-141.147,Beaufort,0.090225564,0.157894737,0.25,133
1223,46,72.1033,-165.4556,Chukchi,0.007444169,0.166666667,0.181818182,403
1419,38,64.40722,-166.2263889,Chukchi,0.029411765,0.166666667,0.166666667,68
483,98,72.608,59.547,Kara,0.032786885,0.166666667,0.2,61
972,41,67.05035,-168.7291333,Chukchi,0.033898305,0.166666667,0.166666667,59
1048,13,68.9905,169.64617,Siberian,0.037037037,0.166666667,0.142857143,270
185,8,69.53,-137.06,Beaufort,0.037735849,0.166666667,0.166666667,53
1077,42.8,62.615,-170.947,Chukchi,0.04,0.166666667,0.166666667,50
1424,51,68.01316667,-167.873,Chukchi,0.042253521,0.166666667,0.222222222,142
387,10.8,70.35409,-161.75108,Chukchi,0.04601227,0.166666667,0.166666667,326
183,3,69.62,-135.87,Beaufort,0.05,0.166666667,0.166666667,120
226,1.5,70.47,-148.85,Beaufort,0.055928412,0.166666667,0.166666667,447
560,552,80.26833333,6.627,Greenland,0.070422535,0.166666667,0.166666667,71
825,27,73.13,79.95,Kara,0.079365079,0.166666667,0.166666667,63
887,211,70.92222,58.90194,Kara,0.079365079,0.166666667,0.285714286,126
1182,65.2,72.74503333,-163.6907167,Chukchi,0.09,0.166666667,0.166666667,100
860,49,74.83,83.43,Kara,0.102362205,0.166666667,0.2,127
646,193,77.24666667,118.5533333,Laptev,0.106557377,0.166666667,0.333333333,122
1235,49,71.611,-159.378,Beaufort,0.11328976,0.166666667,0.181818182,459
1275,1023,76.5118,176.631725,Siberian,0.113402062,0.166666667,0.25,97
162,31,70.42,-148.37,Beaufort,0.127906977,0.166666667,0.25,86
91,42,69.37,-138.08,Beaufort,0.157894737,0.166666667,0.2,57
1072,77.5,62.056,-175.201,Chukchi,0.208333333,0.166666667,0.166666667,72
990,163,71.54566667,-152.2993333,Beaufort,0.228070175,0.166666667,0.166666667,57
1213,90.4,71.50516667,-157.6693,Beaufort,0.240506329,0.166666667,0.181818182,79
217,5,70.558,-149.457,Beaufort,0.276515152,0.166666667,0.166666667,264
1047,10,69.12617,169.28517,Siberian,0.293260474,0.166666667,0.181818182,549
189,6,69.99,-132.05,Beaufort,0.351648352,0.166666667,0.166666667,91
559,874,80.47,8.128,Greenland,0.546875,0.166666667,0.2,64
321,6,70.35,-147.89,Beaufort,0.549019608,0.166666667,0.142857143,51
186,8,69.78,-132.84,Beaufort,0.556440903,0.166666667,0.166666667,753
334,16,71,-151.35,Beaufort,0.681081081,0.166666667,0.142857143,185
1331,120,67.4,12.72,Greenland,0.883959044,0.166666667,0.142857143,2051
156,27,70.22,-148.07,Beaufort,0.092827004,0.176470588,0.3,237
801,276.4,77.28,120.06,Laptev,0.112676056,0.176470588,0.214285714,213
1557,34.2,70.77183,-148.32566,Beaufort,0.149484536,0.176470588,0.25,194
150,26,70.26,-143.67,Beaufort,0.305084746,0.176470588,0.25,59
1498,43,71.705,-165.603,Chukchi,0.027027027,0.181818182,0.181818182,185
1216,64,71.61395,-157.91975,Beaufort,0.032786885,0.181818182,0.181818182,61
1497,43,71.705,-165.603,Chukchi,0.040540541,0.181818182,0.181818182,148
391,14,70.87287,-158.19676,Beaufort,0.051148225,0.181818182,0.2,958
899,31,74.76183,113.99883,Laptev,0.091836735,0.181818182,0.222222222,98
168,24,70.733,-148.8,Beaufort,0.100840336,0.181818182,0.25,119
1250,57,71.6911,-159.8720667,Beaufort,0.112359551,0.181818182,0.2,89
1558,42.9,70.8975,-148.14316,Beaufort,0.145922747,0.181818182,0.25,233
1038,50,64.959,-169.8830833,Chukchi,0.152892562,0.181818182,0.222222222,242
388,19,70.99737,-158.54305,Beaufort,0.168996188,0.181818182,0.2,787
231,13.4,70.267,-146.5,Beaufort,0.169354839,0.181818182,0.181818182,124
757,39,70.3342,171.819,Siberian,0.222222222,0.181818182,0.2,63
897,35,73.85583,80.01,Kara,0.140929535,0.185185185,0.25,667
89,25,69.7,-139.7,Beaufort,0.383753501,0.185185185,0.294117647,357
237,18.7,70.58,-129.41,Beaufort,0.050348567,0.1875,0.222222222,1291
1501,45,71.1951,-164.2017,Chukchi,0.064516129,0.1875,0.214285714,279
1228,38,71.9333,-162.668,Chukchi,0.072916667,0.1875,0.230769231,96
1099,48,71.2721,-167.0144,Chukchi,0.089041096,0.1875,0.214285714,292
1098,51,71.48465,-167.7816667,Chukchi,0.102150538,0.1875,0.214285714,186
159,41,70.82,-148.05,Beaufort,0.128440367,0.1875,0.25,109
367,35,70.127,-142.5,Beaufort,0.143884892,0.1875,0.272727273,139
1229,39,71.7255,-163.4562,Chukchi,0.264150943,0.1875,0.214285714,265
96,322,70.36,-137.55,Beaufort,0.278481013,0.19047619,0.285714286,79
1365,50,68.12783333,-167.4955,Chukchi,0.348920863,0.19047619,0.25,278
180,19.8,70.87,-150.5,Beaufort,0.00729927,0.2,0.222222222,274
900,20,74.032,112.714,Laptev,0.008928571,0.2,0.25,112
1050,13,69.017,170.301,Siberian,0.014364641,0.2,0.214285714,905
206,26,70.357,-146.6,Beaufort,0.020833333,0.2,0.3,240
1110,71,62.38066667,-174.5358333,Chukchi,0.027272727,0.2,0.222222222,110
977,46,64.98911667,-169.141,Chukchi,0.030927835,0.2,0.25,97
1172,27,71.128,-152.294,Beaufort,0.03943662,0.2,0.307692308,355
1042,22,73.84933,137.15933,Laptev,0.045808124,0.2,0.230769231,1157
1054,11,69.5195,170.43283,Siberian,0.050535988,0.2,0.222222222,3918
717,32,59.663,-168.48,Chukchi,0.059701493,0.2,0.2,67
630,73,77.91,133.555,Laptev,0.065088757,0.2,0.25,169
327,19,70.24,-146.03,Beaufort,0.074418605,0.2,0.272727273,215
325,3,70.62,-150.48,Beaufort,0.075376884,0.2,0.230769231,199
1502,44,71.085,-163.802,Chukchi,0.086021505,0.2,0.230769231,186
243,36,64.35,-165.01,Chukchi,0.089285714,0.2,0.25,112
152,33,70.42,-146.13,Beaufort,0.094339623,0.2,0.285714286,53
815,36,74.5,78,Kara,0.1,0.2,0.25,80
868,48,75.46,82.55,Kara,0.106666667,0.2,0.230769231,300
322,13,70.43,-147.52,Beaufort,0.120689655,0.2,0.272727273,58
219,3.5,70.374,-147.737,Beaufort,0.120879121,0.2,0.230769231,91
810,35,74.5,75.92,Kara,0.12195122,0.2,0.25,82
104,115,70.08,-137.83,Beaufort,0.122807018,0.2,0.307692308,228
1101,47,71.07735,-162.5583833,Chukchi,0.127777778,0.2,0.230769231,180
469,15,69.63,60.115,Kara,0.142857143,0.2,0.2,77
26,26,74.1,-21.8,Greenland,0.175257732,0.2,0.272727273,97
1234,54,71.5,-159.512,Beaufort,0.181818182,0.2,0.222222222,77
93,109,70.02,-137.95,Beaufort,0.181818182,0.2,0.25,66
1185,39.4,72.16191667,-163.5885,Chukchi,0.191011236,0.2,0.25,178
1489,35,68.3012,-166.9308,Chukchi,0.194630872,0.2,0.266666667,447
1202,38.8,71.91205,-160.9305167,Chukchi,0.205882353,0.2,0.222222222,68
892,17,73.85361,74.69111,Kara,0.222222222,0.2,0.2,54
208,32,70.992,-149.567,Beaufort,0.234375,0.2,0.222222222,64
106,128,69.6,-138.2,Beaufort,0.256944444,0.2,0.352941176,144
